"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Customer"
,"2018-07-17",,,"Basil",,,"Mjs: ",,"DS976",,1,"Cases",6,6,"Dining Services"
,"2018-08-09",,,"Basil",,,"Kmf: No PO",,"DS986",,0.25,"Cases",6,1.5,"Dining Services"
,"2018-08-24",,,"Basil",,,"bjf: no PO. Communicated with Mary Hair re: pricing.",,"DS997",,2.5,"Cases",7.5,18.75,"Dining Services"
,"2018-09-06",,,"Basil",,,"Bjf: Delivered 1 cherry tomatoes and 1 grape tomatoes.  Billed for two Cherry tomato ",,"DS1005",,1,"Cases",7.5,7.5,"Dining Services"
,"2018-05-17",,,"Beef: Burger Patties",,,"Jh: 90 lbs of beef delivered for senior event. $5 per pound.",,"DS958",,90,"Cases",5,450,"Dining Services"
,"2018-08-28",,,"Beef: Burger Patties",,,"Matt: Burger patties delivered 8/28.  Just settled on price today with Errol;
thanks",,"DS1002",,204,"Cases",4.19,854.76,"Dining Services"
,"2018-09-20",,,"Beef: Chuck Roast",,,"Ph: No PO",,"DS1017",,150,"Cases",5.25,787.5,"Dining Services"
,"2018-10-25",,,"Beef: Chuck Roast",,,"Bjf: po 60857",,"DS1045",,40,"Cases",5.25,210,"Dining Services"
,"2018-09-13",,,"Beef: Cubed",,,"Sm: ",,"DS1012",,62,"Cases",5.25,325.5,"Dining Services"
,"2018-10-22",,,"Beef: Ground",,,"Matt: Beef ordered by Angela S for Thurs 10/18.  Actual delivery 10/20.  Check price;
",,"DS1041",,175,"Cases",4.19,733.25,"Dining Services"
,"2018-02-08",,,"Beef: Shaved Steak",,,": ",,"25",,5,"Cases",4,20,"Other"
,"2018-01-18",,,"Beets",,,"jh: PO57004;
",,"CO-DS81",,1,"Cases",17.9,17.9,"Cash Ops: DS"
,"2018-01-22",,,"Beets",,,"jh: PO 57057 revised on 1/31/18 with adjusted cost of pepper strips",,"DS919",,2,"Cases",17.9,35.8,"Dining Services"
,"2018-01-29",,,"Beets",,,"Ben: PO 57108;
Beets and Turnips added on via text.",,"DS926",,1,"Cases",17.9,17.9,"Dining Services"
,"2018-02-06",,,"Beets",,,"Bjf: PO 57231;
Beets added to order via text.",,"DS933",,1,"Cases",17.9,17.9,"Dining Services"
,"2018-02-19",,,"Beets",,,"Mjs: PO 57481",,"DS940",,2,"Cases",17.9,35.8,"Dining Services"
,"2018-02-23",,,"Beets",,,"Mjs: PO 57616;
1 case juice Carrots added by Mark Swab via text on 2/22;
Thanks!",,"CO-DS89",,1,"Cases",17.9,17.9,"Cash Ops: DS"
,"2018-03-05",,,"Beets",,,"Bjf: No PO: order was texted in by Mark.  Thanks",,"DS943",,1,"Cases",17.9,17.9,"Dining Services"
,"2018-03-22",,,"Beets",,,"Bjf: no PO: ordered via phone/text",,"CO-DS93",,1,"Cases",17.9,17.9,"Cash Ops: DS"
,"2018-03-26",,,"Beets",,,"Bjf: PO58049",,"DS944",,3,"Cases",17.9,53.7,"Dining Services"
,"2018-04-11",,,"Beets",,,"BF: no PO",,"CO-DS102",,1,"Cases",17.9,17.9,"Cash Ops: DS"
,"2018-04-17",,,"Beets",,,"Sd: no PO",,"CO-DS103",,1,"Cases",17.9,17.9,"Cash Ops: DS"
,"2018-04-23",,,"Beets",,,"Bjf: No PO",,"DS951",,1,"Cases",17.9,17.9,"Dining Services"
,"2018-09-20",,,"Beets",,,"Ph: No PO",,"DS1017",,2,"Cases",14.1,28.2,"Dining Services"
,"2018-10-11",,,"Broccoli: Crowns",,,"Pg: PO 60582",,"DS1034",,2,"Cases",18,36,"Dining Services"
,"2018-10-18",,,"Broccoli: Crowns",,,"Pg: No PO",,"DS1039",,3,"Cases",27.1,81.3,"Dining Services"
,"2018-01-25",,,"Broccoli: Frozen",,,"jh: PO 57106 revised and resubmitted invoice on 2/2/18",,"DS922",,8,"Cases",11.24,89.92,"Dining Services"
,"2018-01-17",,,"Cabbage",,,"Jh: PO 57017",,"DS915",,1,"Cases",13.9,13.9,"Dining Services"
,"2018-01-22",,,"Cabbage",,,"jh: PO 57057 revised on 1/31/18 with adjusted cost of pepper strips",,"DS919",,1,"Cases",13.9,13.9,"Dining Services"
,"2018-10-04",,,"Cabbage: Green",,,"Pg: ",,"DS1028",,1,"Cases",20.1,20.1,"Dining Services"
,"2018-10-23",,,"Cabbage: Green",,,"Pg: No PO",,"DS1043",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-11-02",,,"Cabbage: Green",,,"Pg: No PO",,"DS1051",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-11-08",,,"Cabbage: Green",,,"Pg: no PO",,"DS1055",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-11-27",,,"Cabbage: Green",,,"JH: No PO",,"DS1062",,1,"Cases",29.1,29.1,"Dining Services"
,"2018-12-03",,,"Cabbage: Green",,,"Bjf: po61457",,"DS1066",,1,"Cases",29.1,29.1,"Dining Services"
,"2018-12-10",,,"Cabbage: Green",,,"PpG: PO 61560",,"DS1070",,1,"Cases",32.1,32.1,"Dining Services"
,"2018-01-18",,,"Cantaloupes: Frozen",,,"jh: no PO",,"CO-DS82",,10,"Cases",1.44,14.4,"Cash Ops: DS"
,"2018-01-23",,,"Cantaloupes: Frozen",,,"Mh: PO 57059",,"CO-DS83",,40,"Cases",1.44,57.6,"Cash Ops: DS"
,"2018-01-29",,,"Cantaloupes: Frozen",,,"Ben: PO 57108;
Beets and Turnips added on via text.",,"DS926",,60,"Cases",1.44,86.4,"Dining Services"
,"2018-02-01",,,"Cantaloupes: Frozen",,,"Mjs: PO 57228;
extra case of Carrots requested via text",,"DS930",,10,"Cases",1.44,14.4,"Dining Services"
,"2018-02-09",,,"Cantaloupes: Frozen",,,"Bjf: PO 57349;
Cantaloupes Frozen and Turnips added via text",,"DS935",,27,"Cases",1.44,38.88,"Dining Services"
,"2018-02-15",,,"Cantaloupes: Frozen",,,"BF: PO57480",,"DS939",,40,"Cases",1.44,57.6,"Dining Services"
,"2018-02-19",,,"Cantaloupes: Frozen",,,"jh: In addition to the Cantaloupes: we delivered three flats of wheatgrass. We do not have a price for this item.;
;
These items were requested in person: no PO available. Thanks!",,"DS941",,20,"Cases",1.44,28.8,"Dining Services"
,"2018-09-26",,,"Cantaloupes: Frozen",,,"Pg: Please adjust price for Cantaloupes Frozen.  Thanks!",,"DS1022",,20,"Cases",0.01,0.2,"Dining Services"
,"2018-10-05",,,"Cantaloupes: Frozen",,,": ",,"CO-DS114",,10,"Cases",1,10,"Cash Ops: DS"
,"2018-10-05",,,"Cantaloupes: Frozen",,,"Phil : HI MARY PLS CHECK PRICING THANKS!",,"DS1030",,10,"Cases",1,10,"Dining Services"
,"2018-10-10",,,"Cantaloupes: Frozen",,,"Pg: ",,"DS1033",,10,"Cases",1,10,"Dining Services"
,"2018-12-05",,,"Cantaloupes: Frozen",,,"Pg: P0 61558",,"DS1068",,10,"Cases",1.44,14.4,"Dining Services"
,"2018-12-12",,,"Cantaloupes: Frozen",,,"Bjf: no PO",,"CO-DS117",,20,"Cases",1.44,28.8,"Cash Ops: DS"
,"2018-01-15",,,"Carrots",,,"jh: PO 56981",,"DS914",,2,"Cases",15.9,31.8,"Dining Services"
,"2018-01-17",,,"Carrots",,,"Jh: PO 57017",,"DS915",,2,"Cases",15.9,31.8,"Dining Services"
,"2018-01-18",,,"Carrots",,,"jh: PO ??;
",,"DS916",,1,"Cases",15.9,15.9,"Dining Services"
,"2018-01-18",,,"Carrots",,,"jh: PO57004;
",,"CO-DS81",,2,"Cases",15.9,31.8,"Cash Ops: DS"
,"2018-01-19",,,"Carrots",,,"Mjs: PO 57035;
need to confirm prices for:;
30 lbs of Spinach Frozen;
- delivered but not included in invoice -",,"DS917",,3,"Cases",15.9,47.7,"Dining Services"
,"2018-01-22",,,"Carrots",,,"jh: PO 57057 revised on 1/31/18 with adjusted cost of pepper strips",,"DS919",,1,"Cases",15.9,15.9,"Dining Services"
,"2018-01-23",,,"Carrots",,,"Mh: PO 57059",,"CO-DS83",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-01-23",,,"Carrots",,,"Mh: PO 57078",,"DS920",,2,"Cases",15.9,31.8,"Dining Services"
,"2018-01-25",,,"Carrots",,,"jh: PO 57106 revised and resubmitted invoice on 2/2/18",,"DS922",,1,"Cases",15.9,15.9,"Dining Services"
,"2018-01-29",,,"Carrots",,,"Ben: PO 57108;
Beets and Turnips added on via text.",,"DS926",,2,"Cases",15.9,31.8,"Dining Services"
,"2018-01-30",,,"Carrots",,,"MJS: PO 57109 with add ons via text",,"DS927",,2,"Cases",15.9,31.8,"Dining Services"
,"2018-02-01",,,"Carrots",,,"Mjs: PO 57228;
extra case of Carrots requested via text",,"DS930",,3,"Cases",15.9,47.7,"Dining Services"
,"2018-02-02",,,"Carrots",,,"mjs: PO 57229 ;
ADDED 3 MORE CASES OF Carrots PER REQUEST RECEIVED BY TEXT",,"DS931",,6,"Cases",15.9,95.4,"Dining Services"
,"2018-02-05",,,"Carrots",,,"mjs: PO 57230 Turnips added to order via text",,"DS932",,2,"Cases",15.9,31.8,"Dining Services"
,"2018-02-06",,,"Carrots",,,"Bjf: PO 57231;
Beets added to order via text.",,"DS933",,3,"Cases",15.9,47.7,"Dining Services"
,"2018-02-09",,,"Carrots",,,"Bjf: PO 57349;
Cantaloupes Frozen and Turnips added via text",,"DS935",,4,"Cases",15.9,63.6,"Dining Services"
,"2018-02-12",,,"Carrots",,,"Mjs: PO 57350",,"DS936",,4,"Cases",15.9,63.6,"Dining Services"
,"2018-02-13",,,"Carrots",,,"Mjs: PO 57351;
Sweet Potatoes added via text",,"DS937",,6,"Cases",15.9,95.4,"Dining Services"
,"2018-02-15",,,"Carrots",,,"BF: PO57480",,"DS939",,1,"Cases",15.9,15.9,"Dining Services"
,"2018-02-22",,,"Carrots",,,"Ams: PO 57615 ;
Juice Carrots",,"CO-DS86",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-02-23",,,"Carrots",,,"Mjs: PO 57616;
1 case juice Carrots added by Mark Swab via text on 2/22;
Thanks!",,"CO-DS89",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-02-27",,,"Carrots",,,"Mjs: PO57617;
wheatgrass ordered via phone call",,"DS942",,1,"Cases",15.9,15.9,"Dining Services"
,"2018-03-07",,,"Carrots",,,"Mjs: No PO-order placed by text.",,"CO-DS90",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-03-16",,,"Carrots",,,"Bjf: PO 57903",,"CO-DS91",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-03-26",,,"Carrots",,,"Bjf: PO 58050",,"CO-DS94",,0.3,"Cases",15.9,4.77,"Cash Ops: DS"
,"2018-04-02",,,"Carrots",,,": PO 58175",,"CO-DS98",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-08-09",,,"Carrots",,,"Kmf: No PO",,"DS986",,0.5,"Cases",15.9,7.95,"Dining Services"
,"2018-08-24",,,"Carrots",,,"bjf: no PO. Communicated with Mary Hair re: pricing.",,"DS997",,0.5,"Cases",15.9,7.95,"Dining Services"
,"2018-10-26",,,"Carrots: Fresh",,,"Matt: Catering special order:  Carrots: thyme: chard: Turnips: sweet Potatoes.  Please check prices and adjust !!!!",,"DS1046",,1,"Cases",1,1,"Dining Services"
,"2018-11-27",,,"Carrots: Fresh",,,"JH: No PO",,"DS1062",,1,"Cases",17.1,17.1,"Dining Services"
,"2018-11-29",,,"Carrots: Fresh",,,"Ph: PO 61455",,"DS1064",,1,"Cases",17.1,17.1,"Dining Services"
,"2018-11-30",,,"Carrots: Fresh",,,"Pg: PO 61456",,"DS1065",,1,"Cases",17.1,17.1,"Dining Services"
,"2018-12-05",,,"Carrots: Fresh",,,"Pg: P0 61558",,"DS1068",,1,"Cases",18.1,18.1,"Dining Services"
,"2018-12-17",,,"Carrots: Fresh",,,"MS: Mary pls check Carrots price.  Thanks ",,"DS1075",,1,"Cases",18.1,18.1,"Dining Services"
,"2018-12-12",,,"Carrots: Frozen Coins",,,"Bjf: no PO",,"DS1073",,2,"Cases",17.82,35.64,"Dining Services"
,"2018-03-28",,,"Carrots: Juice",,,"Bjf: No PO. Included in today's delivery is spinach (2 lbs): need price per unit: please.",,"CO-DS96",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-03-28",,,"Carrots: Juice",,,"JH: correct invoice for delivery on 3.28.18. Please disregard other invoice: thanks!",,"CO-DS97",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-04-05",,,"Carrots: Juice",,,"Mjs: no PO",,"CO-DS100",,1,"Cases",15.9,15.9,"Cash Ops: DS"
,"2018-01-25",,,"Cauliflower: Frozen",,,"jh: PO 57106 revised and resubmitted invoice on 2/2/18",,"DS922",,1,"Cases",23.71,23.71,"Dining Services"
,"2018-10-26",,,"Chard: Green",,,"Matt: Catering special order:  Carrots: thyme: chard: Turnips: sweet Potatoes.  Please check prices and adjust !!!!",,"DS1046",,24,"Cases",1,24,"Dining Services"
,"2018-08-24",,,"Cilantro",,,"bjf: no PO. Communicated with Mary Hair re: pricing.",,"DS997",,2,"Cases",4.6,9.2,"Dining Services"
,"2018-07-19",,,"Cucumbers",,,"bjf: ",,"DS980",,0.75,"Cases",25.1,18.83,"Dining Services"
,"2018-07-27",,,"Cucumbers",,,"DM: ",,"DS985",,2,"Cases",25.1,50.2,"Dining Services"
,"2018-08-10",,,"Cucumbers",,,"Sm : No PO",,"DS988",,2,"Cases",25.1,50.2,"Dining Services"
,"2018-08-14",,,"Cucumbers",,,"bjf: No PO",,"DS990",,1,"Cases",25.1,25.1,"Dining Services"
,"2018-08-21",,,"Cucumbers",,,"Sm: ",,"DS994",,2,"Cases",25.1,50.2,"Dining Services"
,"2018-08-30",,,"Cucumbers",,,"Ph: ",,"CO-DS111",,1,"Cases",25.1,25.1,"Cash Ops: DS"
,"2018-08-30",,,"Cucumbers",,,"Pg: ",,"DS1000",,2,"Cases",25.1,50.2,"Dining Services"
,"2018-08-31",,,"Cucumbers",,,"MS for MH: updated pricing: please use this version",,"DS1001",,4,"Cases",14.1,56.4,"Dining Services"
,"2018-09-05",,,"Cucumbers",,,"Pg: ",,"DS1004",,2,"Cases",14.1,28.2,"Dining Services"
,"2018-08-24",,,"Eggplants",,,"bjf: no PO. Communicated with Mary Hair re: pricing.",,"DS997",,0.36,"Cases",10.55,3.8,"Dining Services"
,"2018-06-08",,,"Frisee",,,"Bjf:   No PO: order sent via text.",,"DS961",,2,"Cases",22.1,44.2,"Dining Services"
,"2018-06-20",,,"Frisee",,,"Jh: ",,"DS965",,0.25,"Cases",22.1,5.53,"Dining Services"
,"2018-06-29",,,"Frisee",,,"mjs: ",,"DS969",,2,"Cases",22.1,44.2,"Dining Services"
,"2018-07-11",,,"Frisee",,,"mjs: ",,"DS972",,0.333,"Cases",22.1,7.36,"Dining Services"
,"2018-07-13",,,"Frisee",,,"Mjs: ",,"DS974",,0.08,"Cases",22.1,1.77,"Dining Services"
,"2018-07-20",,,"Frisee",,,"bjf: ",,"DS981",,0.083,"Cases",22.1,1.83,"Dining Services"
,"2018-08-10",,,"Frisee",,,"Sm : No PO",,"DS988",,1,"Cases",1,1,"Dining Services"
,"2018-08-16",,,"Frisee",,,"bjf: ",,"DS991",,1,"Cases",1,1,"Dining Services"
,"2018-08-22",,,"Frisee",,,"Bjf: ",,"DS995",,0.25,"Cases",1,0.25,"Dining Services"
,"2018-08-24",,,"Frisee",,,"bjf: no PO. Communicated with Mary Hair re: pricing.",,"DS997",,1,"Cases",14,14,"Dining Services"
,"2018-02-19",,,"Grass",,,"MS: No PO: verbal order from Mark / Ben on Monday 2/19. Invoiced was delayed while we awaited price info for wheatgrass. Also: Grass"" is wheatgrass. Thanks""",,"CO-DS88",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-02-19",,,"Grass",,,": ",,"CO-DS85",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-02-22",,,"Grass",,,": No PO: verbal order from Mark / Ben on Monday 2/19.  Invoiced was delayed while we awaited price info for wheatgrass.  Also: Grass"" is wheatgrass.  Thanks""",,"CO-DS87",,1,"Cases",20.7,20.7,"Cash Ops: DS"
,"2018-02-27",,,"Grass",,,"Mjs: PO57617;
wheatgrass ordered via phone call",,"DS942",,3,"Cases",20.7,62.1,"Dining Services"
,"2018-03-05",,,"Grass",,,"Bjf: No PO: order was texted in by Mark.  Thanks",,"DS943",,3,"Cases",20.7,62.1,"Dining Services"
,"2018-03-16",,,"Grass",,,"Bjf: PO 57903",,"CO-DS91",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-03-20",,,"Grass",,,"Sm: standing order via text",,"CO-DS92",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-03-27",,,"Grass",,,"Mjs: no PO",,"CO-DS95",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-04-03",,,"Grass",,,"Mjs: No PO",,"CO-DS99",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-04-10",,,"Grass",,,"Bjf: no PO- standing order",,"CO-DS101",,3,"Cases",20.7,62.1,"Cash Ops: DS"
,"2018-04-17",,,"Grass",,,"Sd: no PO",,"CO-DS103",,4,"Cases",20.7,82.8,"Cash Ops: DS"
,"2018-04-24",,,"Grass",,,"Mjs: standing order",,"CO-DS105",,4,"Cases",20.7,82.8,"Cash Ops: DS"
,"2018-05-01",,,"Grass",,,"Sm: No PO",,"CO-DS106",,4,"Cases",20.7,82.8,"Cash Ops: DS"
,"2018-07-12",,,"Kale",,,"Matt: ",,"DS973",,1,"Cases",17,17,"Dining Services"
,"2018-07-23",,,"Kale",,,"mjs: ",,"DS982",,4,"Cases",17,68,"Dining Services"
,"2018-08-28",,,"Kale",,,"Bjf: ",,"DS999",,4,"Cases",17,68,"Dining Services"
,"2018-08-30",,,"Kale",,,"Ph: ",,"CO-DS111",,1,"Cases",20.9,20.9,"Cash Ops: DS"
,"2018-09-05",,,"Kale",,,"Bjf: ",,"CO-DS112",,1,"Cases",20.9,20.9,"Cash Ops: DS"
,"2018-09-06",,,"Kale",,,"Bjf: Delivered 1 cherry tomatoes and 1 grape tomatoes.  Billed for two Cherry tomato ",,"DS1005",,3,"Cases",16.1,48.3,"Dining Services"
,"2018-09-13",,,"Kale",,,"Sm: ",,"DS1012",,1,"Cases",21.6,21.6,"Dining Services"
,"2018-09-14",,,"Kale",,,"DM: ",,"DS1013",,1,"Cases",21.6,21.6,"Dining Services"
,"2018-09-20",,,"Kale",,,"Ph: No PO",,"DS1017",,1,"Cases",21.6,21.6,"Dining Services"
,"2018-09-21",,,"Kale",,,"Buf: ",,"DS1018",,3,"Cases",21.6,64.8,"Dining Services"
,"2018-09-24",,,"Kale",,,"pg: ",,"DS1019",,1,"Cases",21.6,21.6,"Dining Services"
,"2018-10-05",,,"Kale ",,,"Phil : HI MARY PLS CHECK PRICING THANKS!",,"DS1030",,2,"Cases",21.6,43.2,"Dining Services"
,"2018-10-12",,,"Kale ",,,"Sm: PO 60583",,"DS1035",,3,"Cases",21.6,64.8,"Dining Services"
,"2018-10-18",,,"Kale ",,,"Pg: No PO",,"DS1039",,2,"Cases",21.6,43.2,"Dining Services"
,"2018-10-22",,,"Kale ",,,"Pg: ",,"DS1042",,2,"Cases",21.6,43.2,"Dining Services"
,"2018-10-26",,,"Kale ",,,"Matt: Catering special order:  Carrots: thyme: chard: Turnips: sweet Potatoes.  Please check prices and adjust !!!!",,"DS1046",,2,"Cases",21.6,43.2,"Dining Services"
,"2018-11-06",,,"Kale ",,,"Phil: no PO",,"DS1053",,2,"Cases",21.6,43.2,"Dining Services"
,"2018-11-08",,,"Kale ",,,"Pg: no PO",,"DS1055",,2,"Cases",21.6,43.2,"Dining Services"
,"2018-11-15",,,"Kale ",,,"Pg: no PO",,"DS1060",,1,"Cases",21.6,21.6,"Dining Services"
,"2018-11-27",,,"Kale ",,,"JH: No PO",,"DS1062",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-11-29",,,"Kale ",,,"Ph: PO 61455",,"DS1064",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-12-04",,,"Kale ",,,"Bf: No PO",,"DS1067",,1,"Cases",30.1,30.1,"Dining Services"
,"2018-12-05",,,"Kale ",,,"Pg: P0 61558",,"DS1068",,3,"Cases",30.1,90.3,"Dining Services"
,"2018-12-07",,,"Kale ",,,"PG: ",,"DS1069",,1,"Cases",30.1,30.1,"Dining Services"
,"2018-12-11",,,"Kale ",,,"Pg: no PO",,"CO-DS115",,1,"Cases",33.1,33.1,"Cash Ops: DS"
,"2018-12-13",,,"Kale ",,,"Bjf: No PO",,"CO-DS118",,2,"Cases",30.1,60.2,"Cash Ops: DS"
,"2018-12-14",,,"Kale ",,,"Pg: No PO",,"DS1074",,2,"Cases",30.1,60.2,"Dining Services"
,"2018-06-08",,,"Lettuce: Green",,,"Bjf:   No PO: order sent via text.",,"DS961",,4,"Cases",18.9,75.6,"Dining Services"
,"2018-06-22",,,"Lettuce: Green",,,"DM: ",,"DS967",,1,"Cases",18.9,18.9,"Dining Services"
,"2018-07-25",,,"Lettuce: Green",,,"bjf: ",,"DS984",,1,"Cases",18.9,18.9,"Dining Services"
,"2018-08-09",,,"Lettuce: Green",,,"Kmf: No PO",,"DS986",,1,"Cases",18.9,18.9,"Dining Services"
,"2018-09-04",,,"Lettuce: Green",,,"Pg: ",,"DS1003",,1,"Cases",18.9,18.9,"Dining Services"
,"2018-09-06",,,"Lettuce: Green",,,"Bjf: Delivered 1 cherry tomatoes and 1 grape tomatoes.  Billed for two Cherry tomato ",,"DS1005",,1,"Cases",18.9,18.9,"Dining Services"
,"2018-04-24",,,"Lettuce: Mes Mix",,,"Mjs: PO 58594",,"DS952",,8,"Cases",10.6,84.8,"Dining Services"
,"2018-06-29",,,"Lettuce: Romaine",,,"mjs: ",,"DS969",,0.5,"Cases",53.9,26.95,"Dining Services"
,"2018-07-25",,,"Lettuce: Romaine",,,"bjf: ",,"DS984",,1,"Cases",53.9,53.9,"Dining Services"
,"2018-08-09",,,"Lettuce: Romaine",,,"Kmf: No PO",,"DS986",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-08-17",,,"Lettuce: Romaine",,,"dm: ",,"DS992",,1,"Cases",22.1,22.1,"Dining Services"
,"2018-08-21",,,"Lettuce: Romaine: Chopped",,,"Sm: ",,"DS994",,5,"Cases",20,100,"Dining Services"
