"Name","Archived","Description","Parent IDs","Nicknames","Date of birth","Species/breed","Sex","Castrated","Tag ID","Tag type","Tag location"
"S-0021",,,"N/A N/A",,"2016-05-21","N/A","M",,"S-0021",,
"S-11-48",," ","N/A N/A",48,"2011-05-04","BLUE FACED LEICESTER","F",,"S-11-48",,
"s-16-0021",,"white","S-14-52 N/A",,"2016-03-11","CHEVIOT MIX","F",,"s-16-0021",,
"s-16-0031",,"brown","S-14-52 N/A",,"2016-03-11","CHEVIOT MIX","F",,"s-16-0031",,
"S-16-0090",,"White","N/A N/A",,"2016-04-12","CHEVIOT MIX","F",,"S-16-0090",,
"S-16-01",,,"S-13-8 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-01",,
"S-16-04",,,"S-14-71 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-04",,
"S-16-07",,,"S-13-6 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-07",,
"S-16-08",,,"S-14-52 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-08",,
"S-16-13",," ","S-13-9 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-13",,
"S-16-14",,,"S-11-2 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-14",,
"S-16-1602",," Brown","S-14-71 A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-1602",,
"S-16-1616",,"white","N/A N/A",,"2016-03-17","CHEVIOT MIX","F",,"S-16-1616",,
"S-16-17",," ","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-17",,
"S-16-18",," slashed r ear","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-18",,
"S-16-19",,"cut on back of ear","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-19",,
"S-16-39",," ","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-39",,
"S-16-40",,"5 spots left ear","N/A A-13-MOMO",,"2016-05-15","CHEVIOT MIX","F",,"S-16-40",,
"S-17-0026",,"White.  ","N/A N/A",,"2017-04-07","CHEVIOT MIX","F",,"S-17-0026",,
"S-17-0029",,,"N/A N/A",,"2017-04-06","CHEVIOT MIX","F",,"S-17-0029",,
"S-17-0040",,"White.  ","N/A N/A",,"2017-04-07","CHEVIOT MIX","F",,"S-17-0040",,
"S-17-02",,,"S-14-52 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","F",,"S-17-02",,
"S-17-06",,,"S-14-71 A-13-MOMO",,"2017-05-22","CHEVIOT MIX","F",,"S-17-06",,
"S-17-10",,,"N/A N/A",,"2017-05-21","N/A","M",,"S-17-10",,
"S-17-1637",,"White","S-15-78 A-13-MOMO",,"2017-05-05","CHEVIOT MIX","F",,"S-17-1637",,
"S-17-1707",,"Brown","S-14-71 A-13-MOMO",,"2017-05-22","CHEVIOT MIX","F",,"S-17-1707",,
"S-17-1710",,"White.  RETAG DOB UNKOWN","N/A N/A",,"2017-04-12","CHEVIOT MIX","F",,"S-17-1710",,
"S-17-1711",,"White","S-08-Naomi A-13-MOMO",,"2017-05-29","CHEVIOT MIX","F",,"S-17-1711",,
"S-17-1712",,"White.  ","N/A N/A",,"2017-04-07","CHEVIOT MIX","F",,"S-17-1712",,
"S-17-18",,,"N/A N/A",,"2017-05-21","N/A","F",,"S-17-18",,
"S-17-19",,,"N/A N/A",,"2016-05-21","N/A","M",,"S-17-19",,
"S-17-20",,,"N/A N/A",,"2017-05-21","N/A","F",,"S-17-20",,
"S-17-21",,,"S-14-59 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","M",,"S-17-21",,
"S-17-22",,,"S-14-54 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","M",,"S-17-22",,
"S-17-23",,,"S-15-86 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","M",,"S-17-23",,
"S-17-24",,,"S-14-52 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","M",,"S-17-24",,
"S-17-25",,,"S-15-86 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","M",,"S-17-25",,
"S-17-26",,,"S-15-76 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","M",,"S-17-26",,
"S-17-27",,,"N/A N/A",,"2017-05-21","N/A","M",,"S-17-27",,
"S-17-28",,,"N/A N/A",,"2017-05-21","N/A","M",,"S-17-28",,
"S-17-29",,,"N/A N/A",,"2017-05-21","N/A","M",,"S-17-29",,
"S-17-30",,,"S-14-79 A-13-MOMO",,"2017-05-22","CHEVIOT MIX","M",,"S-17-30",,
"S-17-31",,,"S-13-8 A-13-MOMO",,"2017-05-22","CHEVIOT MIX","M",,"S-17-31",,
"S-17-32",,,"N/A A-13-MOMO",,"2017-05-22","CHEVIOT MIX","M",,"S-17-32",,
"S-17-33",,,"S-10-JB A-13-MOMO",,"2017-05-22","CHEVIOT MIX","M",,"S-17-33",,
"S-17-34",,,"S-10-JB A-13-MOMO",,"2017-05-22","CHEVIOT MIX","M",,"S-17-34",,
"S-17-35",,,"N/A N/A",,"2017-05-27","CHEVIOT MIX","M",,"S-17-35",,
"S-17-36",,"Black","S-11-48 A-13-MOMO",,"2017-05-27","CHEVIOT MIX","M",,"S-17-36",,
"S-17-38",,"Black","S-13-16 A-13-MOMO",,"2017-05-29","CHEVIOT MIX","M",,"S-17-38",,
"S-17-39",,,"N/A N/A",,"2017-05-21","N/A","M",,"S-17-39",,
"S-17-40",,,"N/A N/A",,"2017-05-21","N/A","M",,"S-17-40",,
"S-17-LILBOY",,"WHITE WITH HORNS, PINK NOSE","N/A N/A","LILBOY","2017-05-20","FRESIAN MIX","M",,"S-17-LILBOY",,
"S-17/18-0030",,"White.  ","N/A N/A",,"2017-04-16","CHEVIOT MIX","F",,"S-17/18-0030",,
"S-1701-0025",,,"S-14-54 A-13-MOMO",,"2017-05-16","CHEVIOT MIX","F",,"S-1701-0025",,
"S-1703-0022",,,"N/A N/A",,"2017-05-21","N/A","F",,"S-1703-0022",,
"S-?-1616",,"white","N/A N/A",,"2016-03-17","CHEVIOT MIX","F",,"S-?-1616",,
"S-13-16",,"LONGWOOL","N/A N/A",,"2016-05-15","FRESIAN MIX","F",,"S-13-16",,
"S-13-6",," ","N/A N/A",,"2013-05-15","CHEVIOT MIX","F",,"S-13-6",,
"S-13-8",,,"N/A N/A",8,"2013-05-15","FRESIAN MIX","F",,"S-13-8",,
"S-13-9",,,"N/A N/A",9,"2013-05-15","FRESIAN MIX","F",,"S-13-9",,
"S-14-52",," ","N/A N/A"," ","2014-05-15","CHEVIOT MIX","F",,"S-14-52",,
"S-14-59",," ","N/A N/A","smaller sheep","2014-05-15","CHEVIOT MIX","F",,"S-14-59",,
"S-14-71",,,"N/A N/A","JJ","2014-05-15","CHEVIOT MIX","F",,"S-14-71",,
"S-14-79",," ","N/A N/A",,"2014-05-15","CHEVIOT MIX","F",,"S-14-79",,
"S-15-16",,"rat tail 1616","N/A N/A",,"2015-05-15","CHEVIOT MIX","F",,"S-15-16",,
"S-15-70",,,"N/A N/A",,"2015-05-15","CHEVIOT MIX","F",,"S-15-70",,
"S-15-78",,"Brown sheep no tail","S-13-16 A-13-MOMO","Champ","2015-05-15","CHEVIOT MIX","F",,"S-15-78",,
"S-15-80",,"LONGWOOL","N/A N/A",,"2015-05-15","CHEVIOT MIX","F",,"S-15-80",,
"S-15-86",," ","N/A N/A",,"2013-05-15","CHEVIOT MIX","F",,"S-15-86",,
"S-18-51",,,,,,"FRESIAN MIX",,,,,
